name,cost,price,discount
[DESK] THOMAS MASON OFFICE SHIRT,85892,158000,5
[DESK] BASIC STRIPE TIE [NAVY],15992,25000,5
[DESK] GRAND CRU WOOL V-NECK KNIT [BLACK],42850,118000,5
[DESK] GRAND CRU WOOL MOCK-NECK KNIT [CHARCOAL],46238,118000,5
[DESK] GRAND CRU WOOL V-NECK KNIT [CHARCOAL],46238,118000,5
[DESK] GRAND CRU WOOL V-NECK KNIT [DARK NAVY],46238,118000,5
[DESK] GRAND CRU WOOL V-NECK KNIT [DEEP BROWN],46238,118000,5
[DESK] GRAND CRU WOOL V-NECK KNIT [MELANGE GRAY],46238,118000,5
[DESK] GRAND CRU WOOL V-NECK KNIT [SILVER BLUE],46238,118000,5
[DESK] NATURAL CHINO JACKET [WASHED BLACK],59290,208000,5
[DESK] NATURAL CHINO JACKET [WASHED CHARCOAL],72566,208000,5
[DESK] NATURAL CHINO JACKET [WASHED NAVY],88629,208000,5
[DESK] NATURAL CHINO PANTS [LIGHT BEIGE],61974,139000,5
[DESK] NATURAL CHINO PANTS [WASHED BEIGE],54329,139000,5
[DESK] NATURAL CHINO PANTS [WASHED BLACK],42561,139000,5
[DESK] NATURAL CHINO PANTS [WASHED CHARCOAL],51480,139000,5
[DESK] NATURAL CHINO PANTS [WASHED KHAKI],57475,139000,5
[DESK] NATURAL CHINO PANTS [WASHED NAVY],51480,139000,5
[DESK] OFFICE HALF SHIRT [LIGHT BLUE],29576,65000,15
[DESK] OFFICE HALF SHIRT [LIGHT GRAY],29576,65000,15
[DESK] OFFICE SHIRT [DEEP CHARCOAL],30962,64000,15
[DESK] OFFICE SHIRT [FOG],33393,64000,15
[DESK] OFFICE SHIRT [GRAPHITE],33393,64000,15
[DESK] OFFICE SHIRT [GRAY],33393,64000,15
[DESK] OFFICE SHIRT [ICE BLUE],30962,64000,15
[DESK] OFFICE SHIRT [INK NAVY],30962,64000,15
[DESK] OFFICE SHIRT [WHITE],33393,64000,15
[DESK] STRIPE SHIRT [BLACK],35450,64000,15
[DESK] ONE TUCK CHINO SHORTS [WASHED BEIGE],39384,82000,5
[DESK] ONE TUCK CHINO SHORTS [WASHED CHARCOAL],39384,82000,5
[DESK] ONE TUCK CHINO SHORTS [WASHED KHAKI],39384,82000,5
[DESK] SLIM TIE [BLACK],15992,55000,15
[DESK] STRIPE SLIM TIE [GRAY],15992,55000,15
[DESK] STRIPE SLIM TIE [WHITE],15992,55000,15
[DESK] WOOL SLIM TIE [BLACK],19790,55000,15
